id,site_ID,expand_name,location,sponsor,revenue,owner,year,traffic,Media Type,type
303,303,Blacklisted News,USA,advertising/donations,mixed,Doug Owen,2006,Unknown,Unknown,conspiracy 
304,304,Church Militant,USA,advertising/donations/fees,mixed,St. Michael’s Media,2012,Unknown,hategroup,politics
305,305,SHTFplan.com,USA,advertising,advertising,Unknown,2009,Medium,Website,conspiracy 
306,306,Health Sciences Institute,USA,organization,organization,Agora Inc,1998,Unknown,Unknown,pseudoscience 
307,307,Thinking Mom's Revolution,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,antivaxx campaigns
308,308,yournewswire.com,USA,advertising,advertising,"The People’s Voice, inc",Unknown,Unknown,Unknown,conspiracy 
309,309,Alliance for Natural Health (ANH-USA),USA,organization,organization,The Alliance for Natural Health,1992,Unknown,Unknown,antivaxx campaigns
310,310,Syria News,Unknown,advertising/donations,mixed,Unknown,2011,Minimal,Website,politics
311,311,Al Bawaba,Jordan,advertising,advertising,Unknown,2000,Medium,Website,mega
312,312,The Gate Way Pundit,USA,advertising,advertising,Jim Hoft,2004,High,Website,politics
313,313,State of the Nation 2012,USA,Unknown,Unknown,Unknown,2012,Medium,Website,conspiracy 
314,314,Democratic National Committee,USA,organization,organization,The Democratic National Committee,1848,Unknown,Unknown,politics
315,315,369 News,Unknown,advertising,advertising,Unknown,Unknown,Minimal,Website,conspiracy 
316,316,Naturally Savvy,USA,advertising,advertising,Andrea Donsky,Unknown,Unknown,Unknown,pseudoscience 
317,317,Daily Kos,,,,,,,,politics
318,318,Breitbart,USA,organization,organization,Larry Solov,2007,High,Website,mega
319,319,DC Clothesline,USA,advertising/sales,mixed,Dean Garrison,2013,Unknown,Unknown,conspiracy 
320,320,Climatism,Australia,advertising/donations,mixed,Jamie Spry,Unknown,Unknown,Unknown,pseudoscience 
321,321,Information Liberation,USA,advertising,advertising,Chris Menahan,2005,Unknown,Unknown,politics
322,322,American Web Media,USA,advertising,advertising,"Internet ROI, Inc.",2013,Medium,Website,conspiracy 
323,323,USAWatchdog.com,USA,advertising/donations,mixed,USAWatchDog LLC.,2005,Medium,Website,conspiracy 
324,324,Lindell TV,USA,sales,sales,Lindell Management,2019,Minimal,Website,politics
325,325,IFL Science,United Kingdom,advertising/sponsor/sales,mixed,LabX Media Group,2012,High,Website,science
326,326,Life News,USA,advertising/donations,mixed,Steve Ertelt,2001,Medium,Website,politics
327,327,Institute for Responsible Technology,USA,donations,donations,Jeffrey Smith. IRT,2003,Unknown,Unknown,conspiracy 
328,328,Pro Trump News,Unknown,Unknown,Unknown,Unknown,2019,Unknown,Unknown,politics
329,329,Tru News,USA,donations/sales,mixed,Rick Wiles,1999,Unknown,Unknown,conspiracy 
330,330,The Trumpet,USA,donations,donations,Philadelphia Church of God,1990,Medium,Magazine,politics
331,331,Behold Israel,Israel,donations/sales,mixed,Amir Tsarfati,Unknown,Unknown,Unknown,mega
332,332,WorldHealth.Net,USA,advertising,advertising,"American Academy of Anti-Aging, Preventative, and Regenerative Medicine",Unknown,Unknown,Unknown,pseudoscience 
333,333,Activist Post,Unknown,advertising/donations,mixed,Unknown,2010,Medium,Website,conspiracy 
334,334,NewsWars,USA,advertising,advertising,Alex Jones,2017,Medium,Website,politics
335,335,Trump Train News,USA,advertising/sponsor,mixed,Unknown,2016,Unknown,Unknown,politics
336,336,BrightSide,Cyrpus,advertising,advertising,Unknown,2014,Unknown,Unknown,pseudoscience 
337,337,The Other 98%,USA,donations,donations,Other98 Action,2010,Medium,Organization/Foundation,politics
338,338,Faithit,USA,advertising,advertising,Unknown,2013,Unknown,Unknown,politics
339,339,GreenMedInfo,USA,donations/fees,mixed,Sayer Ji through GreenMedInfo LLC,2008,Medium,Website,pseudoscience 
340,340,Indiatimes,India,organization,organization,The Times Group,Unknown,Unknown,Unknown,mega
341,341,American People Daily,USA,advertising,advertising,Unknown,2017,Unknown,Unknown,politics
342,342,Steadfast and Loyal,USA,advertising,advertising,Unknown,2017,Minimal,Website,politics
343,343,MagaPill,USA,advertising/donations,mixed,Unknown,Unknown,Unknown,Unknown,politics
344,344,Daily Headlines,Unknown,advertising,advertising,Unknown,2014,Unknown,Unknown,politics
345,345,Collapse.News,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,conspiracy 
346,346,disclose.tv,Germany ,advertising,advertising,Futurebytes GmbH & Co. KG,2007,Medium,Website,conspiracy 
347,347,Medicine News,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,conspiracy 
348,348,Veterans Today,USA,advertising/donations,mixed,Unknown,2003,Unknown,Unknown,conspiracy 
349,349,Revolver.News,Unknown,advertising/donations/sales,mixed,Unknown,2020,Medium,Website,politics
350,350,Autism Speaks,USA,organization,organization,Autism Speaks,Unknown,Unknown,Unknown,science
351,351,DoctorOz.com (Dr. Oz),USA,advertising,advertising,Mehmet Cengiz Öz,Unknown,Unknown,Unknown,pseudoscience 
352,352,American Conservative Movement,USA,advertising,advertising,Unknown,2016,Minimal,Website,conspiracy 
353,353,Right Side Broascasting Network,USA,advertising/donations/sales,mixed,Joe Seales,2015,Medium,Website,politics
354,354,Environmental Working Group (EWG),USA,organization,organization,EWG,1992,Medium,Organization/Foundation,pseudoscience 
355,355,Gaia,USA,organization,organization,"Gaia, Inc",1988,Medium,Website,pseudoscience 
356,356,Tasnim News Agency,Iran,organization,organization,Islamic Ideology Dissemination Organization,2012,Unknown,Unknown,politics
357,357,The Conservative Papers,USA,Unknown,Unknown,Unknown,2009,Unknown,Unknown,politics
358,358,Now the End Begins,USA,advertising/donations,mixed,Geoffrey Grider,2008,Unknown,Unknown,conspiracy 
359,359,Front Page Mag,USA,organization,organization,David Horowitz Freedom Center,Unknown,Medium,Organization/Foundation,politics
360,360,What Really Happened,USA,advertising/sales,mixed,Michael Rivero,1999,Medium,hategroup,politics
361,361,The Healthy American,USA,donations,donations,Peggy Hall,2020,Medium,Website,pseudoscience 
362,362,InfoGalactic,Switzerland,Unknown,Unknown,Unknown,2016,Medium,Website,conspiracy 
363,363,Frank Speech,USA,Unknown,Unknown,Mike Lindell,2021,Minimal,Website,conspiracy 
364,364,AltHealth Works,USA,advertising,advertising,Alternative Health Works LLC,2012,Minimal,Website,pseudoscience 
365,365,Godlike Productions,Unknown,sponsor,sponsor,Unknown,Unknown,Unknown,Website,conspiracy 
366,366,Christian Apologetics & Research Ministry (CARM),USA,organization,organization,The Christian Apologetics & Research Ministry,1995,Unknown,Unknown,politics
367,367,WallBuilders,USA,Unknown,Unknown,"WallBuilder Presentations, Inc.",1999,Unknown,hategroup,politics
368,368,China Daily,China,,,,,,,mega
369,369,The Buffalo Chronicle,USA,advertising/fees,mixed,Unknown,2014,Medium,Website,mega
370,370,Information Clearing House,USA,donations,donations,Tom Feeley,2001,Unknown,Unknown,politics
371,371,News Blaze,Australia,advertising,advertising,NewsBlaze Pty. Ltd.,2005,Unknown,Unknown,politics
372,372,The Beltway Report,USA,advertising,advertising,"Liberty One Broadcasting, LLC",2018,Unknown,Unknown,politics
373,373,Family Research Council,USA,Unknown,Unknown,Family Research Council,Unknown,Unknown,hategroup,politics
374,374,Gulag Bound,USA,Unknown,Unknown,"Sovereignty Unbound, LLC",2010,Unknown,Unknown,conspiracy 
375,375,Prevention Magazine,USA,organization,organization,Hearst Corporation,1950,Unknown,Unknown,science
376,376,Center for Security Policy,USA,organization,organization,The Center for Security Policy?,1988,Unknown,Unknown,politics
377,377,Defiant America,USA,advertising,advertising,Unknown,2016,Medium,Website,politics
378,378,Escape all these Things,USA,Donations,Donations,Tim Mchyde,Unknown,Minimal,Website,conspiracy 
379,379,Above Top Secret,USA,fees,fees,Above Network LLC,1997,Medium,Website,conspiracy 
380,380,I Heart Intelligence,Bulgaria,advertising/sponsor/sales,mixed,Stanislav Slavov and Milen Raychev,2014,Unknown,Unknown,pseudoscience 
381,381,Daily Star UK,United Kingdom,Unknown,Unknown,Reach plc,1978,Unknown,Unknown,mega
382,382,News Break,USA,advertising/sponsor,mixed,IDG Capital (CHINA),2015,High,News App,mega
